can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,team_name,position,value_per_million,team_id,opponent_team_id,opponent_team,predicted_points,cost
True,False,,,432830,0,0,1,-1,2,2,5.2,0.0,2,Nathan,0.0,88,False,,,46,432830.jpg,3.3,False,Collins,4.5,False,,a,4,94,127,992798,0,568992,0,0.0,27.6,Collins,104.0,2023-07-04,2001-04-30,False,p432830,3420,2,7,8,57,0,0,0,5,0,0,11,549,1023.2,160.5,311.0,149.6,38,2.44,1.57,4.01,56.31,0,0,0,0,0,0,0,7,1,239,61,106,7,77,10,,,,,,,0.06,0.0,0.04,0.1,1.48,1.5,357,52,456,220,114,26,83,28,1.0,0.21,Brentford,Defender,27.60869565217392,4,7,Crystal Palace,126.97595901518778,4.6
True,False,100.0,100.0,446008,0,0,13,-13,6,3,4.5,0.0,8,Bryan,0.0,99,True,,2024-11-13T15:00:08.005055Z,83,446008.jpg,6.2,False,Mbeumo,46.7,False,,a,4,94,236,10656539,0,6074146,0,0.0,28.4,Mbeumo,38.0,2019-08-05,1999-08-07,False,p446008,3415,20,9,9,55,0,0,1,3,0,0,29,948,1236.8,1107.5,1060.0,340.8,38,12.52,9.24,21.75,55.4,0,0,0,0,0,0,0,3,2,5,5,8,4,2,2,2.0,,2.0,,2.0,,0.33,0.0,0.24,0.57,1.46,1.45,11,8,794,340,2,2,3,2,1.0,0.24,Brentford,Midfielder,28.433734939759034,4,7,Crystal Palace,236.0025516204845,8.3
True,False,100.0,100.0,216646,0,0,9,-9,5,4,6.2,0.0,1,Yoane,0.0,110,False,,2024-11-13T14:30:07.614563Z,69,216646.jpg,5.3,False,Wissa,24.2,False,,a,4,94,185,6186462,0,3862721,0,0.0,26.8,Wissa,50.0,2021-08-10,1996-09-03,False,p216646,2921,18,6,9,45,0,0,0,5,0,0,32,739,849.4,400.0,1181.0,242.4,34,18.58,2.2,20.77,45.12,0,0,0,0,0,0,0,22,4,102,6,5,3,12,4,,,,,4.0,,0.57,0.0,0.07,0.64,1.39,1.39,32,16,773,72,9,5,12,4,1.05,0.28,Brentford,Forward,26.81159420289855,4,7,Crystal Palace,185.13786973069125,6.9
True,False,100.0,100.0,247348,0,0,2,-2,4,2,3.3,-1.0,2,Daniel,0.0,211,False,,2024-12-16T09:30:06.692125Z,52,247348.jpg,3.8,False,Muñoz,19.3,False,,a,7,31,142,3673253,0,1971404,0,0.0,27.3,Muñoz,48.0,2024-01-30,1996-05-26,False,p247348,3229,4,6,11,46,0,0,0,10,0,0,9,480,816.6,634.2,524.0,197.6,37,4.92,3.46,8.38,46.3,0,0,0,0,0,0,0,30,11,47,8,58,1,34,1,,,,,,,0.14,0.0,0.1,0.24,1.29,1.28,171,22,640,247,62,7,18,5,1.03,0.31,Crystal Palace,Defender,27.307692307692307,7,19,West Ham,140.38933639998788,5.2
True,False,100.0,100.0,224967,0,0,-1,1,1,2,4.0,-0.5,9,Vitalii,0.0,231,False,,2025-04-05T16:00:08.540143Z,44,224967.jpg,3.5,False,Mykolenko,6.7,False,,a,8,11,121,1637298,0,1780064,0,0.0,27.5,Mykolenko,225.0,2022-01-01,1999-05-29,False,p224967,3082,1,3,11,39,0,0,0,4,0,0,9,467,621.4,428.5,100.0,115.2,35,0.48,2.12,2.6,39.81,0,0,0,0,0,0,0,88,33,91,17,273,79,123,30,,,,,,,0.01,0.0,0.06,0.07,1.16,1.14,515,97,268,177,89,15,57,19,1.02,0.32,Everton,Defender,27.5,8,5,Brighton,121.92690814536446,4.4
True,False,,,111234,0,0,2,-2,5,1,3.3,-0.5,11,Jordan,0.0,235,True,,,52,111234.jpg,4.2,False,Pickford,15.9,False,,a,8,11,158,2522034,0,2440525,0,0.0,30.4,Pickford,241.0,2017-07-01,1994-03-07,False,p111234,3420,0,1,12,44,0,2,0,7,0,122,15,593,1052.0,20.3,0.0,107.0,38,0.0,0.22,0.22,46.11,0,0,0,0,0,0,0,5,2,429,5,787,79,140,2,,,,,,,0.0,3.21,0.01,0.01,1.21,1.16,165,6,634,79,32,6,24,3,1.0,0.32,Everton,Goalkeeper,30.384615384615383,8,5,Brighton,156.5332148412085,5.2
True,False,100.0,100.0,244731,0,0,0,0,3,3,5.0,1.0,2,Luis,0.0,327,False,,2025-01-17T11:30:08.018487Z,75,244731.jpg,5.1,False,Díaz,16.8,False,,a,12,14,183,7399125,0,6677369,0,0.0,24.4,Luis Díaz,48.0,2022-01-30,1997-01-13,False,p244731,2393,13,7,15,21,0,0,0,2,0,0,21,634,770.8,748.0,946.0,246.4,28,11.9,4.34,16.24,24.44,0,0,0,0,0,0,0,38,9,29,25,14,7,10,7,,,,,,,0.45,0.0,0.16,0.61,0.92,0.79,17,11,789,337,10,5,21,7,1.05,0.56,Liverpool,Midfielder,24.4,12,4,Brentford,182.1789425369336,7.5
True,False,,,118748,0,0,11,-11,12,3,4.5,1.0,10,Mohamed,0.0,328,True,,,136,118748.jpg,9.1,False,Salah,66.3,False,,a,12,14,344,7064777,0,3645258,0,0.0,25.3,M.Salah,63.0,2017-07-01,1992-06-15,False,p118748,3374,29,18,15,40,0,0,0,1,0,0,55,1133,1577.0,1199.2,1985.0,476.0,38,24.7,8.99,33.69,37.83,0,0,0,0,0,0,0,1,1,3,3,1,1,1,1,,,,,2.0,,0.66,0.0,0.24,0.9,1.01,1.07,2,1,803,347,1,1,1,1,1.01,0.4,Liverpool,Midfielder,25.294117647058822,12,4,Brentford,342.52614274964736,13.6
True,False,100.0,100.0,477424,0,0,5,-5,2,2,5.8,0.5,8,Joško,0.0,350,True,,2024-10-31T02:30:07.426838Z,65,477424.jpg,4.1,False,Gvardiol,38.6,False,,a,13,43,153,6026146,0,5098220,0,0.0,23.5,Gvardiol,97.0,2023-08-05,2002-01-23,False,p477424,3278,5,0,13,41,0,0,0,2,0,0,15,623,847.0,501.7,497.0,185.0,36,4.6,2.92,7.52,44.27,0,0,0,0,0,0,0,23,7,74,14,63,2,49,5,,,,,,,0.13,0.0,0.08,0.21,1.22,1.13,48,3,764,266,40,3,4,1,0.99,0.36,Man City,Defender,23.53846153846154,13,10,Ipswich,153.26743519882308,6.5
True,False,100.0,100.0,114243,0,0,-3,3,4,3,4.0,0.5,2,Jacob,0.0,402,False,,2025-01-13T14:00:09.130787Z,52,114243.jpg,4.5,False,Murphy,14.3,False,,a,15,4,159,3322876,0,1910681,0,0.0,30.6,J.Murphy,241.0,2017-07-19,1995-02-24,False,p114243,2356,8,13,11,31,0,0,0,4,0,0,11,601,713.4,625.2,519.0,185.6,31,5.89,6.14,12.03,28.19,0,0,0,0,0,0,0,57,16,52,43,59,38,47,35,,,,,,,0.22,0.0,0.23,0.45,1.08,1.18,166,99,635,246,21,10,28,9,1.18,0.42,Newcastle,Midfielder,30.57692307692308,15,17,Southampton,158.18782964857374,5.2
